City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
186,broken hill,AU,57.2,-31.95,141.43,Daydream Motel & Cottages
187,kapuskasing,CA,60.8,49.42,-82.43,Park Inn Motel
188,thompson,CA,59.0,55.74,-97.86,Burntwood Hotel
189,bengkulu,ID,84.47,-3.8,102.27,Grage Hotel Bengkulu
190,hambantota,LK,86.0,6.12,81.12,Bungalow 63
191,havre-saint-pierre,CA,53.6,50.23,-63.6,Auberge Niapiskau
192,klaksvik,FO,50.0,62.23,-6.59,Airbnb rooms
193,hay river,CA,80.6,60.82,-115.8,Ptarmigan Inn Hotels
194,anaconda,US,66.2,46.13,-112.94,Trade Wind Motel
195,surt,LY,69.96,31.21,16.59,City Hotel
196,muriwai beach,NZ,64.99,-36.82,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
197,ajaccio,FR,59.0,42.0,8.92,Sole E Monte
198,saint george,US,95.0,37.1,-113.58,Best Western Plus Abbey Inn
199,oksfjord,NO,55.4,70.24,22.35,Bobo
200,waitati,NZ,44.01,-45.75,170.57,Arden Country House Dunedin
201,okha,RU,47.3,53.57,142.95,Империя
204,cabo san lucas,MX,80.01,22.89,-109.91,Hotel Tesoro Los Cabos
205,ahuimanu,US,86.0,21.44,-157.84,Paradise Bay Resort
206,sakakah,SA,71.6,29.97,40.21,Fakhamat Al Orjoana Apartment
207,mehriz,IR,80.6,31.59,54.43,Mehrgard dwelling/سرای مهرگرد
208,moose factory,CA,51.8,51.26,-80.61,Cree Village Eco Lodge
209,dawson creek,CA,64.4,55.77,-120.24,Peace Villa Motel
210,vostok,RU,60.66,46.49,135.88,
211,isangel,VU,80.6,-19.55,169.27,Volcano Sea View Tree House
212,san jose,US,71.01,37.34,-121.89,The Westin San Jose
213,freeport,US,73.0,40.66,-73.58,The Freeport Inn and Marinad
215,mercedes,AR,46.99,-34.65,-59.43,Posada del Inti Centro
216,didwana,IN,97.9,27.4,74.57,Marudhar Hotel
218,pitkyaranta,RU,55.08,61.57,31.48,Pitkyaranta hotel
219,sumbe,AO,69.67,-11.21,13.84,Hotel Ritz Sumbe
220,carnarvon,AU,78.8,-24.87,113.63,Hospitality Carnarvon
221,palauig,PH,87.87,15.44,119.9,Myhousebythesea
222,somova,RO,64.4,45.18,28.67,La Balta
224,asfi,MA,68.23,32.3,-9.24,Hôtel Abda
225,micheweni,TZ,78.71,-4.97,39.83,
226,velikiy ustyug,RU,54.01,60.76,46.31,Dvina
228,sarangani,PH,84.9,5.4,125.46,Ballistic Islet
229,geraldton,AU,77.0,-28.77,114.6,Broadwater Mariner Resort
230,parit raja,MY,84.2,1.87,103.11,RG Grand Hotel
232,cayenne,GF,77.0,4.93,-52.33,Hôtel Le Dronmi
233,komsomolskiy,UZ,84.2,40.43,71.72,Ikathouse
234,kaitangata,NZ,48.0,-46.28,169.85,Kaitangata Motor Camp
235,dosso,NE,85.33,13.05,3.19,Hotel Toubal
236,nacala,MZ,69.53,-14.54,40.67,Nacala Plaza Business Design Hotel
237,sanford,US,82.4,28.8,-81.27,Best Western Plus Sanford Airport/Lake Mary Hotel
238,le port,RE,69.8,-20.94,55.29,Villa Maido
239,senneterre,CA,68.0,48.38,-77.23,Motel Senabi
241,morondava,MG,70.18,-20.28,44.28,La Case Bambou
242,kalmunai,LK,88.57,7.42,81.82,VS Villa
244,santo domingo,DO,84.0,18.5,-69.99,Micro Hotel Condo Suites
246,saskylakh,RU,71.29,71.92,114.08,
248,nampula,MZ,64.62,-15.12,39.27,Tacab Residencial
249,cidreira,BR,67.26,-30.18,-50.21,Novomar Pousada e Turismo Ltda
250,itoman,JP,84.2,26.12,127.67,Southern Beach Hotel & Resort Okinawa
251,iranshahr,IR,93.2,27.2,60.68,کافی نت دانشگاه
252,guiren,CN,80.89,33.67,118.19,Suyuan Hotel
253,tucuman,AR,60.8,-26.82,-65.22,Dallas Hotel Tucuman
254,zhigansk,RU,71.2,66.77,123.37,Gostinichnyy Kompleks Aylgy
255,tessalit,ML,88.95,20.2,1.01,
256,gayeri,BF,86.22,12.65,0.49,
257,bonavista,CA,49.06,48.65,-53.11,Abbott's Bed & Breakfast
258,avera,US,78.01,33.19,-82.53,
